#case_id:base2; note:all_open
#f[Hz] abs(Y) angle(Y)[rad]
100 6.30760749e-7 -1.57071328e+0
105 5.83441768e-7 -1.57070451e+0
110 5.39454841e-7 -1.57069465e+0
115 4.98339250e-7 -1.57068349e+0
120 4.59708987e-7 -1.57067078e+0
125 4.23237658e-7 -1.57065618e+0
130 3.88646844e-7 -1.57063927e+0
135 3.55697033e-7 -1.57061951e+0
140 3.24180473e-7 -1.57059616e+0
145 2.93915484e-7 -1.57056823e+0
150 2.64741881e-7 -1.57053435e+0
155 2.36517248e-7 -1.57049252e+0
160 2.09113893e-7 -1.57043981e+0
165 1.82416313e-7 -1.57037167e+0
170 1.56319068e-7 -1.57028064e+0
175 1.30724982e-7 -1.57015363e+0
180 1.05543594e-7 -1.56996534e+0
185 8.06898035e-8 -1.56965981e+0
190 5.60826723e-8 -1.56908368e+0
195 3.16443612e-8 -1.56761174e+0
200 7.29954598e-9 -1.55628529e+0
205 1.70287324e-8 1.56424645e+0
210 4.14118903e-8 1.56795480e+0
215 6.59266158e-8 1.56890946e+0
220 9.06496499e-8 1.56934269e+0
225 1.15660468e-7 1.56958689e+0
230 1.41042240e-7 1.56974113e+0
235 1.66882974e-7 1.56984529e+0
240 1.93276800e-7 1.56991850e+0
245 2.20325437e-7 1.56997103e+0
250 2.48139887e-7 1.57000888e+0
255 2.76842425e-7 1.57003573e+0
260 3.06568962e-7 1.57005398e+0
265 3.37471874e-7 1.57006516e+0
270 3.69723452e-7 1.57007033e+0
275 4.03520120e-7 1.57007016e+0
280 4.39087671e-7 1.57006505e+0
285 4.76687810e-7 1.57005521e+0
290 5.16626440e-7 1.57004070e+0
295 5.59264249e-7 1.57002139e+0
300 6.05030398e-7 1.56999703e+0
305 6.54440440e-7 1.56996721e+0
310 7.08120098e-7 1.56993136e+0
315 7.66837250e-7 1.56988869e+0
320 8.31545666e-7 1.56983817e+0
325 9.03445866e-7 1.56977845e+0
330 9.84071467e-7 1.56970775e+0
335 1.07541443e-6 1.56962372e+0
340 1.18011132e-6 1.56952322e+0
345 1.30172834e-6 1.56940193e+0
350 1.44521215e-6 1.56925386e+0
355 1.61763116e-6 1.56907037e+0
360 1.82945175e-6 1.56883866e+0
365 2.09686158e-6 1.56853886e+0
370 2.44630088e-6 1.56813847e+0
375 2.92411065e-6 1.56758047e+0
380 3.61960188e-6 1.56675489e+0
385 4.72989955e-6 1.56541886e+0
390 6.79296360e-6 1.56290948e+0
395 1.19850036e-5 1.55654453e+0
400 5.01999501e-5 1.50944420e+0
405 2.29092894e-5 -1.54196761e+0
410 9.31757878e-6 -1.55868374e+0
415 5.83511370e-6 -1.56293623e+0
420 4.23714276e-6 -1.56486437e+0
425 3.31748150e-6 -1.56595462e+0
430 2.71829478e-6 -1.56664780e+0
435 2.29578919e-6 -1.56712087e+0
440 1.98099201e-6 -1.56745860e+0
445 1.73668671e-6 -1.56770653e+0
450 1.54102180e-6 -1.56789127e+0
455 1.38032211e-6 -1.56802928e+0
460 1.24559061e-6 -1.56813121e+0
465 1.13066466e-6 -1.56820413e+0
470 1.03118046e-6 -1.56825284e+0
475 9.43960524e-7 -1.56828055e+0
480 8.66635459e-7 -1.56828937e+0
485 7.97401697e-7 -1.56828057e+0
490 7.34861397e-7 -1.56825471e+0
495 6.77913752e-7 -1.56821180e+0
500 6.25679391e-7 -1.56815125e+0
505 5.77446699e-7 -1.56807192e+0
510 5.32632965e-7 -1.56797202e+0
515 4.90755790e-7 -1.56784905e+0
520 4.51411708e-7 -1.56769957e+0
525 4.14259989e-7 -1.56751896e+0
530 3.79010195e-7 -1.56730106e+0
535 3.45412503e-7 -1.56703750e+0
540 3.13250098e-7 -1.56671683e+0
545 2.82333121e-7 -1.56632308e+0
550 2.52493804e-7 -1.56583332e+0
555 2.23582513e-7 -1.56521361e+0
560 1.95464494e-7 -1.56441161e+0
565 1.68017168e-7 -1.56334235e+0
570 1.41127855e-7 -1.56185825e+0
575 1.14691861e-7 -1.55967888e+0
580 8.86108854e-8 -1.55619855e+0
585 6.27919584e-8 -1.54982320e+0
590 3.71484170e-8 -1.53457084e+0
595 1.16323219e-8 -1.45192026e+0
600 1.41031651e-8 1.46996377e+0
605 3.97370842e-8 1.53388910e+0
610 6.55934945e-8 1.54762115e+0
615 9.17365441e-8 1.55355386e+0
620 1.18261074e-7 1.55682477e+0
625 1.45270743e-7 1.55886801e+0
630 1.72877876e-7 1.56024115e+0
635 2.01205175e-7 1.56120560e+0
640 2.30388102e-7 1.56189968e+0
645 2.60577834e-7 1.56240295e+0
650 2.91944895e-7 1.56276387e+0
655 3.24683663e-7 1.56301309e+0
660 3.59018002e-7 1.56317032e+0
665 3.95208402e-7 1.56324808e+0
670 4.33561127e-7 1.56325387e+0
675 4.74440103e-7 1.56319137e+0
680 5.18282565e-7 1.56306108e+0
685 5.65619954e-7 1.56286058e+0
690 6.17106272e-7 1.56258449e+0
695 6.73557211e-7 1.56222409e+0
700 7.36005201e-7 1.56176666e+0
705 8.05778495e-7 1.56119430e+0
710 8.84617540e-7 1.56048213e+0
715 9.74850946e-7 1.55959546e+0
720 1.07967002e-6 1.55848533e+0
725 1.20357299e-6 1.55708107e+0
730 1.35311539e-6 1.55527784e+0
735 1.53824488e-6 1.55291419e+0
740 1.77483067e-6 1.54972947e+0
745 2.08985329e-6 1.54527612e+0
750 2.53321021e-6 1.53871975e+0
755 3.20861601e-6 1.52831463e+0
760 4.37280024e-6 1.50971465e+0
765 6.87999416e-6 1.46835986e+0
770 1.61833049e-5 1.30909057e+0
775 3.09660697e-5 -1.00210869e+0
780 8.43252409e-6 -1.40856552e+0
785 4.71709750e-6 -1.46970899e+0
790 3.21275000e-6 -1.49272156e+0
795 2.39174426e-6 -1.50363733e+0
800 1.86861060e-6 -1.50884213e+0
805 1.50092574e-6 -1.51050104e+0
810 1.22366895e-6 -1.50932508e+0
815 1.00268582e-6 -1.50525217e+0
820 8.18019832e-7 -1.49749878e+0
