#case_id:flow_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
100 2.39235157e-7 -1.57059772e+0
105 1.97106274e-7 -1.57054149e+0
110 1.56551738e-7 -1.57045595e+0
115 1.17204680e-7 -1.57031230e+0
120 7.87369170e-8 -1.57002638e+0
125 4.08473534e-8 -1.56920411e+0
130 3.25282916e-9 -1.54925643e+0
135 3.43240574e-8 1.56858806e+0
140 7.21555665e-8 1.56965467e+0
145 1.10524854e-7 1.56998238e+0
150 1.49730302e-7 1.57013681e+0
155 1.90096075e-7 1.57022298e+0
160 2.31983440e-7 1.57027472e+0
165 2.75804734e-7 1.57030613e+0
170 3.22041143e-7 1.57032403e+0
175 3.71266059e-7 1.57033197e+0
180 4.24176561e-7 1.57033182e+0
185 4.81636893e-7 1.57032449e+0
190 5.44740005e-7 1.57031023e+0
195 6.14896879e-7 1.57028873e+0
200 6.93969782e-7 1.57025920e+0
205 7.84477190e-7 1.57022020e+0
210 8.89920108e-7 1.57016951e+0
215 1.01532313e-6 1.57010376e+0
220 1.16817576e-6 1.57001770e+0
225 1.36016838e-6 1.56990304e+0
230 1.61063399e-6 1.56974588e+0
235 1.95403444e-6 1.56952130e+0
240 2.45838781e-6 1.56917997e+0
245 3.27929977e-6 1.56860875e+0
250 4.86797738e-6 1.56747934e+0
255 9.30834600e-6 1.56427474e+0
260 9.75996305e-5 1.49996614e+0
265 1.15050214e-5 -1.56210523e+0
270 5.41440541e-6 -1.56650714e+0
275 3.52312678e-6 -1.56784985e+0
280 2.59653232e-6 -1.56848799e+0
285 2.04331154e-6 -1.56885167e+0
290 1.67338697e-6 -1.56907881e+0
295 1.40694328e-6 -1.56922696e+0
300 1.20459396e-6 -1.56932411e+0
305 1.04465438e-6 -1.56938521e+0
310 9.14196008e-7 -1.56941865e+0
315 8.05027132e-7 -1.56942907e+0
320 7.11700922e-7 -1.56941874e+0
325 6.30450190e-7 -1.56938821e+0
330 5.58582003e-7 -1.56933650e+0
335 4.94115997e-7 -1.56926104e+0
340 4.35559045e-7 -1.56915733e+0
345 3.81759746e-7 -1.56901814e+0
350 3.31811480e-7 -1.56883208e+0
355 2.84985981e-7 -1.56858080e+0
360 2.40686657e-7 -1.56823351e+0
365 1.98414958e-7 -1.56773481e+0
370 1.57745570e-7 -1.56697496e+0
375 1.18307639e-7 -1.56570259e+0
380 7.97702250e-8 -1.56318945e+0
385 4.18311595e-8 -1.55608618e+0
390 4.24382403e-9 -1.42219234e+0
395 3.34030091e-8 1.55145289e+0
400 7.12327633e-8 1.56140447e+0
405 1.09585550e-7 1.56443026e+0
410 1.48756988e-7 1.56587067e+0
415 1.89069102e-7 1.56669573e+0
420 2.30880346e-7 1.56721597e+0
425 2.74599183e-7 1.56756094e+0
430 3.20701503e-7 1.56779382e+0
435 3.69753465e-7 1.56794856e+0
440 4.22442234e-7 1.56804443e+0
445 4.79618351e-7 1.56809249e+0
450 5.42355561e-7 1.56809870e+0
455 6.12037458e-7 1.56806537e+0
460 6.90486393e-7 1.56799179e+0
465 7.80161133e-7 1.56787428e+0
470 8.84470520e-7 1.56770567e+0
475 1.00829146e-6 1.56747401e+0
480 1.15886574e-6 1.56716021e+0
485 1.34744411e-6 1.56673344e+0
490 1.59252168e-6 1.56614193e+0
495 1.92680726e-6 1.56529315e+0
500 2.41415258e-6 1.56400541e+0
505 3.19823862e-6 1.56186869e+0
510 4.68412536e-6 1.55772548e+0
515 8.62835390e-6 1.54655275e+0
520 5.17551038e-5 1.42281363e+0
525 1.28950858e-5 -1.53327227e+0
530 5.72477817e-6 -1.55366661e+0
535 3.66162506e-6 -1.55944764e+0
540 2.67695630e-6 -1.56213944e+0
545 2.09704690e-6 -1.56366748e+0
550 1.71257469e-6 -1.56462894e+0
555 1.43728936e-6 -1.56526888e+0
