#case_id:flute_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
100 2.36492281e-7 -1.57054960e+0
105 1.95148251e-7 -1.57049817e+0
110 1.55255572e-7 -1.57041874e+0
115 1.16443791e-7 -1.57028263e+0
120 7.83779001e-8 -1.57000584e+0
125 4.07464917e-8 -1.56919448e+0
130 3.25216253e-9 -1.54925967e+0
135 3.44013358e-8 1.56856973e+0
140 7.25106676e-8 1.56961877e+0
145 1.11390274e-7 1.56992610e+0
150 1.51378527e-7 1.57005698e+0
155 1.92850787e-7 1.57011594e+0
160 2.36234219e-7 1.57013630e+0
165 2.82026636e-7 1.57013147e+0
170 3.30821244e-7 1.57010744e+0
175 3.83340077e-7 1.57006671e+0
180 4.40480343e-7 1.57000987e+0
185 5.03380352e-7 1.56993609e+0
190 5.73515799e-7 1.56984339e+0
195 6.52844427e-7 1.56972845e+0
200 7.44030407e-7 1.56958631e+0
205 8.50805224e-7 1.56940963e+0
210 9.78573226e-7 1.56918754e+0
215 1.13548041e-6 1.56890342e+0
220 1.33442065e-6 1.56853073e+0
225 1.59710351e-6 1.56802466e+0
230 1.96316607e-6 1.56730317e+0
235 2.51352800e-6 1.56619859e+0
240 3.44311541e-6 1.56430680e+0
245 5.37092187e-6 1.56034415e+0
250 1.18681626e-5 1.54690270e+0
255 6.12862403e-5 -1.44259751e+0
260 8.63302315e-6 -1.55210094e+0
265 4.64286121e-6 -1.56034201e+0
270 3.16876941e-6 -1.56336419e+0
275 2.39722984e-6 -1.56492881e+0
280 1.91989912e-6 -1.56588250e+0
285 1.59348388e-6 -1.56652212e+0
290 1.35470677e-6 -1.56697849e+0
295 1.17128926e-6 -1.56731808e+0
300 1.02503412e-6 -1.56757804e+0
305 9.04896207e-7 -1.56778054e+0
310 8.03777924e-7 -1.56793935e+0
315 7.16905357e-7 -1.56806318e+0
320 6.40944543e-7 -1.56815738e+0
325 5.73491960e-7 -1.56822487e+0
330 5.12766448e-7 -1.56826656e+0
335 4.57415290e-7 -1.56828142e+0
340 4.06387839e-7 -1.56826624e+0
345 3.58850621e-7 -1.56821488e+0
350 3.14128692e-7 -1.56811695e+0
355 2.71664081e-7 -1.56795499e+0
360 2.30985569e-7 -1.56769905e+0
365 1.91686139e-7 -1.56729459e+0
370 1.53405645e-7 -1.56663269e+0
375 1.15817050e-7 -1.56546285e+0
380 7.86151126e-8 -1.56305776e+0
385 4.15071244e-8 -1.55606905e+0
390 4.24045130e-9 -1.42229742e+0
395 3.36178738e-8 1.55121668e+0
400 7.22300091e-8 1.56102678e+0
405 1.11994222e-7 1.56389900e+0
410 1.53287548e-7 1.56517173e+0
415 1.96542396e-7 1.56581257e+0
420 2.42264848e-7 1.56612906e+0
425 2.91060204e-7 1.56624708e+0
430 3.43667812e-7 1.56622519e+0
435 4.01009605e-7 1.56609143e+0
440 4.64259456e-7 1.56585742e+0
445 5.34944935e-7 1.56552408e+0
450 6.15101000e-7 1.56508364e+0
455 7.07509760e-7 1.56451934e+0
460 8.16088697e-7 1.56380329e+0
465 9.46547291e-7 1.56289151e+0
470 1.10755708e-6 1.56171470e+0
475 1.31297409e-6 1.56015996e+0
480 1.58641309e-6 1.55803307e+0
485 1.97169875e-6 1.55497186e+0
490 2.56040116e-6 1.55021782e+0
495 3.58121919e-6 1.54187412e+0
500 5.80994395e-6 1.52349908e+0
505 1.46099219e-5 1.45036614e+0
