#case_id:recorder_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
100 2.25051347e-7 -1.57056153e+0
105 1.86915185e-7 -1.57051075e+0
110 1.49757729e-7 -1.57043211e+0
115 1.13185657e-7 -1.57029700e+0
120 7.68246587e-8 -1.57002150e+0
125 4.03052012e-8 -1.56921182e+0
130 3.24921025e-9 -1.54927922e+0
135 3.47482363e-8 1.56854727e+0
140 7.41282932e-8 1.56959249e+0
145 1.15396853e-7 1.56989480e+0
150 1.59146681e-7 1.57001903e+0
155 2.06093676e-7 1.57006922e+0
160 2.57125923e-7 1.57007792e+0
165 3.13374117e-7 1.57005756e+0
170 3.76315925e-7 1.57001269e+0
175 4.47935842e-7 1.56994375e+0
180 5.30979113e-7 1.56984826e+0
185 6.29372035e-7 1.56972075e+0
190 7.48952231e-7 1.56955185e+0
195 8.98813724e-7 1.56932607e+0
200 1.09397010e-6 1.56901713e+0
205 1.36113779e-6 1.56857776e+0
210 1.75294041e-6 1.56791433e+0
215 2.38942513e-6 1.56681281e+0
220 3.61705518e-6 1.56465488e+0
225 7.01907941e-6 1.55861419e+0
230 6.63917559e-5 1.45237847e+0
235 9.31594373e-6 -1.55375372e+0
240 4.43462285e-6 -1.56243740e+0
245 2.93689472e-6 -1.56508058e+0
250 2.20659944e-6 -1.56635395e+0
255 1.77194317e-6 -1.56709961e+0
260 1.48207054e-6 -1.56758672e+0
265 1.27382211e-6 -1.56792787e+0
270 1.11608853e-6 -1.56817840e+0
275 9.91763518e-7 -1.56836865e+0
280 8.90656550e-7 -1.56851655e+0
285 8.06313852e-7 -1.56863334e+0
290 7.34444849e-7 -1.56872631e+0
295 6.72081448e-7 -1.56880032e+0
300 6.17100568e-7 -1.56885863e+0
305 5.67938984e-7 -1.56890334e+0
310 5.23415675e-7 -1.56893569e+0
315 4.82617045e-7 -1.56895620e+0
320 4.44820340e-7 -1.56896469e+0
325 4.09441029e-7 -1.56896027e+0
330 3.75995619e-7 -1.56894115e+0
335 3.44074620e-7 -1.56890441e+0
340 3.13322273e-7 -1.56884548e+0
345 2.83420796e-7 -1.56875734e+0
350 2.54077586e-7 -1.56862900e+0
355 2.25014260e-7 -1.56844276e+0
360 1.95956635e-7 -1.56816862e+0
365 1.66624873e-7 -1.56775229e+0
370 1.36723039e-7 -1.56708538e+0
375 1.05927221e-7 -1.56591821e+0
380 7.38712046e-8 -1.56352468e+0
385 4.01287177e-8 -1.55655813e+0
